art_code,product_name,position,rating_value,art_category_level_2_name,is_adtech,base_price,action_price
1000375440,Сельдь тихоокеанская в желе Доброфлот 260г,106,4.3,Покупайте за 1₽,False,179.0,
8000043617,Батончик глазированный Bionova с коллагеном Шоколад-Банан 40г,107,,Покупайте за 1₽,False,129.0,104.0
1000521564,Напиток Эконад Лимонад Иммунитет 500мл,108,4.5,Покупайте за 1₽,False,199.0,159.0
1000521563,Лимонад Эконад Антистресс 500мл,109,3.6,Покупайте за 1₽,False,199.0,155.0
1000449792,Имбирный пряник на палочке с глазурью Sofi 45г в ассортименте,110,4.7,Покупайте за 1₽,False,219.0,185.0
1000493946,Макароны Fleur Alpine Паста в форме звездочек 250г,111,4.8,Покупайте за 1₽,False,245.0,198.0
8000043612,Батончик протеиновый Bionova Солёный крем-ирис 50г,112,5.0,Покупайте за 1₽,False,125.0,
1000393014,Сельдь Доброфлот тихоокеанская натуральная с добавлением масла 245г,113,4.5,Покупайте за 1₽,False,155.0,109.0
1000563616,Напиток Green Milk Barista соевый миндаль 1л,114,4.5,Покупайте за 1₽,False,284.0,
8000047056,Смесь зелени Easy Food 80г,115,5.0,Покупайте за 1₽,False,239.0,183.0
8000097055,Молочный коктейль безлактозный со вкусом банана Hyper 0.4% 250г,116,4.7,Покупайте за 1₽,False,173.0,
8000072126,Сыр Ореховый Радость вкуса 40% 180г,117,5.0,Покупайте за 1₽,False,269.0,215.0
1000309408,Вода Святой Источник Светлячок детская негазированная 5л,118,4.9,Покупайте за 1₽,False,169.0,139.0
8000075252,Напиток со вкусом клубники Fanta Strawberry 355мл,119,,Покупайте за 1₽,False,199.0,169.0
8000075811,Сыр полутвердый Манчего Burenka Club 45% 125г,120,3.0,Покупайте за 1₽,False,257.0,
8000070740,Зефир ванильный без сахара Жизель 130г,121,5.0,Покупайте за 1₽,False,139.0,
8000085687,Колбаса Фирменная сырокопченая Дубки 180г,122,4.6,Покупайте за 1₽,False,211.0,99.0
8000075258,Напиток со вкусом ежевики Dr. Pepper Blackberry 355мл,123,5.0,Покупайте за 1₽,False,179.0,159.0
1000302472,Кукуруза Green Ray Молодая без сахара 340г,124,4.8,Покупайте за 1₽,False,184.0,
8000064744,Макароны без глютена из гречневой муки Federici Linguine 250г,125,1.0,Покупайте за 1₽,False,179.0,123.0
8000068589,Горячий шоколад порошок А.П.Селиванов 150г,126,,Покупайте за 1₽,False,329.0,
8000105738,Горбуша натуральная Владкон 250г,127,,Покупайте за 1₽,False,238.0,209.0
8000058027,Риет рыбный с соусом терияки Меридиан 100г,128,4.3,Покупайте за 1₽,False,189.0,154.0
8000062611,Рисовая каша на молоке с манго и миндалем 250г,129,4.8,Покупайте за 1₽,False,249.0,139.0
8000075254,Напиток со вкусом персика Fanta Peach 355мл,130,,Покупайте за 1₽,False,169.0,
8000097057,Молочный коктейль безлактозный со вкусом шоколада Hyper 0.5% 250г,131,4.9,Покупайте за 1₽,False,173.0,
8000053553,Смесь сыров Простосыр тертый 47% 100г,132,4.8,Покупайте за 1₽,False,129.0,99.0
